,도소매업생산지수,음식숙박업생산지수,금융보험생산지수,부동산및임대업생산지수,운수보관생산지수,정보통신업,보건및사회복지업생산지수,사업서비스업생산지수,수신,여신,실업률,여수신,광공업생산지수,건설업생산지수,KOSPI,interest,gdpRate,CPI,export,import,label
2010-12-31,0.03361344537815136,-0.0034059945504086864,0.07218309859154926,-0.5312014902204285,0.11452810180275708,0.07845188284518834,0.025454545454545396,0.08774038461538458,0.0311670099277801,0.035283394364288734,0.0,0.002772205313924525,0.11199999999999999,0.001,0.19788622233879138,0.054000000000000006,0.012,0.03,0.226,0.217,1.0
2011-01-31,0.08715596330275233,-0.0061823802163833985,0.07465277777777768,-0.4038842647641696,0.0849462365591398,0.08840579710144914,0.09007352941176472,0.09857328145265898,0.01791675895062439,0.03977883245785496,-0.24,-0.12142897631599181,0.12,-0.098,0.25589689392092385,0.0564,0.009000000000000001,0.034,0.447,0.331,1.0
2011-02-28,-0.002366863905325478,-0.010195412064570974,0.06307977736549164,-0.3902537253322593,0.04489337822671158,0.006858710562414272,0.060998151571164394,0.06675224646983291,0.013888687599266092,0.045077265052615,-0.0625,-0.16542236384530618,0.068,-0.187,0.19571675728021898,0.056600000000000004,0.009000000000000001,0.039,0.1639999999999999,0.173,1.0
2011-03-31,0.04446854663774391,-0.03622047244094484,0.04983388704318936,-0.43338884263114075,0.07968127490039834,0.02846534653465338,0.07471264367816088,0.06741573033707882,0.01741043202143766,0.0474157000149269,0.04878048780487809,-0.17182333869865785,0.08800000000000001,-0.06,0.21870923428697342,0.057800000000000004,0.009000000000000001,0.0409999999999999,0.288,0.281,0.0
2011-04-30,0.04180418041804179,-0.01244167962674958,0.097770154373928,-0.4307270233196159,0.04595404595404595,0.02127659574468077,0.05740740740740735,0.08094645080946461,0.0293222790766412,0.05398775884127893,0.0,-0.13965499300259632,0.055999999999999994,-0.083,0.23019734124329627,0.057,0.005,0.038,0.235,0.244,1.0
2011-05-31,0.054229934924078016,0.02237136465324374,0.02348993288590595,-0.38807478524507333,0.038235294117647145,0.019305019305019266,0.06340579710144922,0.055421686746987886,0.014913041883895639,0.05450894335235201,0.0,-0.2384896085192285,0.071,-0.094,0.2665012087488279,0.0576,0.005,0.039,0.217,0.299,1.0
2011-06-30,0.047670639219935085,0.014195583596214423,0.04266211604095571,-0.2880886426592798,0.03754940711462451,0.07073170731707323,0.061511423550087985,0.055878928987194376,0.019921604832658257,0.05495824659273785,-0.05714285714285716,-0.20030808894618146,0.06,-0.011000000000000001,0.21264394882641113,0.057999999999999996,0.005,0.042,0.111,0.271,0.0
2011-07-31,0.028322440087146017,0.008276899924755332,0.0795847750865053,-0.20677361853832443,0.05160662122687443,0.04761904761904767,0.05486725663716818,0.06619385342789608,0.02316635188645133,0.0587352259145375,-0.10810810810810823,-0.20387059333665825,0.037000000000000005,-0.149,0.19269483943898003,0.058600000000000006,0.005,0.045,0.211,0.251,0.0
2011-08-31,0.04735062006764368,-0.03154805575935449,0.12131715771230511,-0.1428571428571428,0.05818540433925046,0.07086614173228334,0.05820105820105814,0.046674445740956916,0.027578992897146604,0.06504953670290425,-0.09090909090909083,-0.21276182909673858,0.052000000000000005,-0.09300000000000001,0.0758659525928378,0.0584,0.005,0.047,0.255,0.287,0.0
2011-09-30,0.030075187969925032,-0.0292397660818714,0.0923076923076922,-0.1317567567567568,0.04959514170040502,0.07604562737642584,0.06161971830985924,0.029445073612684114,0.03945693344047685,0.07001823885249814,-0.11764705882352944,-0.16648678873696943,0.071,-0.013000000000000001,-0.0566582073497397,0.0576,0.005,0.038,0.18,0.294,1.0
