"시점",원데이터,전년동월 대비 증감률
"2013.01",92.728,1.6
"2013.02",93.038,1.6
"2013.03",92.952,1.5
"2013.04",92.823,1.3
"2013.05",92.823,1.1
"2013.06",92.710,1.2
"2013.07",92.909,1.6
"2013.08",93.238,1.5
"2013.09",93.419,1.0
"2013.10",93.134,0.9
"2013.11",93.116,1.2
"2013.12",93.229,1.1
"2014.01",93.730,1.1
"2014.02",93.980,1.0
"2014.03",94.153,1.3
"2014.04",94.214,1.5
"2014.05",94.369,1.7
"2014.06",94.248,1.7
"2014.07",94.386,1.6
"2014.08",94.551,1.4
"2014.09",94.490,1.1
"2014.10",94.205,1.1
"2014.11",94.015,1.0
"2014.12",94.006,0.8
"2015.01",94.643,1.0
"2015.02",94.587,0.6
"2015.03",94.596,0.5
"2015.04",94.625,0.4
"2015.05",94.890,0.6
"2015.06",94.909,0.7
"2015.07",95.080,0.7
"2015.08",95.213,0.7
"2015.09",94.966,0.5
"2015.10",94.966,0.8
"2015.11",94.786,0.8
"2015.12",95.070,1.1
"2016.01",95.232,0.6
"2016.02",95.640,1.1
"2016.03",95.393,0.8
"2016.04",95.573,1.0
"2016.05",95.630,0.8
"2016.06",95.611,0.7
"2016.07",95.431,0.4
"2016.08",95.677,0.5
"2016.09",96.247,1.3
"2016.10",96.379,1.5
"2016.11",96.237,1.5
"2016.12",96.342,1.3
"2017.01",97.366,2.2
"2017.02",97.632,2.1
"2017.03",97.565,2.3
"2017.04",97.442,2.0
"2017.05",97.546,2.0
"2017.06",97.338,1.8
"2017.07",97.499,2.2
"2017.08",98.058,2.5
"2017.09",98.172,2.0
"2017.10",98.077,1.8
"2017.11",97.347,1.2
"2017.12",97.698,1.4
"2018.01",98.106,0.8
"2018.02",98.855,1.3
"2018.03",98.751,1.2
"2018.04",98.931,1.5
"2018.05",98.979,1.5
"2018.06",98.779,1.5
"2018.07",98.590,1.1
"2018.08",99.462,1.4
"2018.09",100.221,2.1
"2018.10",100.041,2.0
"2018.11",99.330,2.0
"2018.12",98.988,1.3
"2019.01",98.884,0.8
"2019.02",99.311,0.5
"2019.03",99.121,0.4
"2019.04",99.481,0.6
"2019.05",99.652,0.7
"2019.06",99.491,0.7
"2019.07",99.187,0.6
"2019.08",99.425,0.0
"2019.09",99.794,-0.4
"2019.10",100.041,0.0
