,CDS_premium_AA,CDS_premium_BBB,spread_3y,bond_spread,CD_3mon,CP_3mon,credit_int_rate,deposit_int_rate,credit_deposit_spread,overnight_rate
2014-09-01,0.003805789473684211,0.06128526315789474,0.0015494736842105261,0.006071578947368421,0.023536842105263158,0.02428947368421053,0.0414,0.022799999999999997,0.018600000000000002,0.02235263157894737
2014-10-01,0.003560952380952381,0.06109714285714286,0.0014352380952380951,0.0053,0.02212857142857143,0.02319047619047619,0.04,0.021800000000000003,0.0182,0.02076190476190476
2014-11-01,0.0032765,0.061178,0.0013830000000000001,0.005538,0.02138,0.022400000000000003,0.0388,0.021,0.0178,0.0198
2014-12-01,0.00317,0.06142636363636364,0.0014318181818181819,0.005377272727272727,0.0213,0.02299090909090909,0.0391,0.0216,0.0175,0.0199
2015-01-01,0.003171904761904762,0.06169714285714285,0.00039285714285714276,0.003753333333333333,0.02128571428571429,0.022580952380952382,0.039,0.0209,0.0181,0.01989047619047619
2015-02-01,0.002763529411764706,0.06166823529411765,0.0002394117647058823,0.0032188235294117653,0.021152941176470593,0.022400000000000003,0.0386,0.0204,0.0182,0.01985882352941176
2015-03-01,0.0026354545454545454,0.061625,0.0002381818181818182,0.004113181818181818,0.01953636363636364,0.02004090909090909,0.0361,0.0192,0.0169,0.01826818181818182
2015-04-01,0.0024909090909090914,0.061490909090909096,-0.0001104545454545455,0.004380909090909091,0.01812727272727273,0.018822727272727272,0.0336,0.0178,0.0158,0.01731818181818182
2015-05-01,0.002396111111111111,0.061491666666666674,0.0012544444444444439,0.006148888888888889,0.018000000000000002,0.01871666666666667,0.0356,0.0175,0.0181,0.01736666666666667
2015-06-01,0.002383181818181818,0.06149318181818182,0.001825,0.006946363636363636,0.01704545454545455,0.01727727272727273,0.0349,0.0167,0.0182,0.01578636363636363
2015-07-01,0.00224695652173913,0.06142130434782609,0.0027678260869565207,0.0067365217391304345,0.01647826086956522,0.017,0.034300000000000004,0.015700000000000002,0.018600000000000002,0.014834782608695649
2015-08-01,0.0024535000000000004,0.0617405,0.0023495,0.005733,0.016395,0.016955,0.0344,0.015500000000000002,0.0189,0.014935
2015-09-01,0.002944,0.06220900000000001,0.0015125,0.005645,0.01602,0.016855000000000002,0.034300000000000004,0.0154,0.0189,0.014810000000000002
2015-10-01,0.00335,0.0626642857142857,0.001274761904761905,0.004607142857142857,0.015771428571428568,0.0170047619047619,0.0342,0.0158,0.0184,0.01483333333333333
2015-11-01,0.003666190476190476,0.06312190476190477,0.0025152380952380947,0.005022380952380953,0.015852380952380948,0.01743333333333333,0.0344,0.0166,0.0178,0.01493333333333333
2015-12-01,0.0042359090909090905,0.06365954545454545,0.0021922727272727267,0.004613181818181818,0.0167,0.01903181818181818,0.0346,0.0172,0.0174,0.01470909090909091
2016-01-01,0.004627500000000001,0.064048,0.0012835,0.0039685,0.01665,0.01828,0.0349,0.0165,0.0184,0.01489
2016-02-01,0.004761666666666667,0.06427333333333334,-0.0002605555555555555,0.003517777777777777,0.01637222222222222,0.01762222222222222,0.0347,0.0158,0.0189,0.01487222222222222
2016-03-01,0.004813181818181818,0.06454454545454545,-2e-05,0.00356,0.016263636363636362,0.01711818181818182,0.035,0.015600000000000001,0.0194,0.01490909090909091
2016-04-01,0.004719,0.06467700000000001,-0.00032,0.0034165000000000003,0.0161,0.017045,0.0344,0.015600000000000001,0.0188,0.01484
2016-05-01,0.004555,0.06485899999999999,-0.000455,0.0033295000000000004,0.01581,0.016819999999999998,0.0345,0.0154,0.0191,0.014895
2016-06-01,0.004549523809523809,0.06499619047619047,0.0002404761904761905,0.00283047619047619,0.014257142857142859,0.01557619047619048,0.033100000000000004,0.0144,0.0187,0.012952380952380951
