,export,import,exp_price_index,imp_price_idx,dollar,bis_rate,finance_balance,capital_balance,current_balance
2008-02-01,0.18886716459883424,0.28411158053372265,0.06673356748620174,0.22218318107285073,-0.0051912278843097015,-0.008880833710919633,-4.737140003329449,1.5,2.0661179698216734
2008-03-01,0.18449172377660106,0.26676833202141204,0.0913718291054737,0.28017241379310365,0.054739084132055416,-0.0685745634086129,-0.565447106026298,-0.8288288288288288,-1.8380730782488794
2008-04-01,0.2640151819755885,0.2927172869088035,0.09271577564260491,0.31334080717488777,0.012318255250403976,-0.005202709335427547,0.13978818667125892,-1.0060422960725075,0.0651164866553604
2008-05-01,0.26879135342603067,0.29633083259679327,0.10930479535985627,0.4462911321807026,0.027428685417913545,-0.022399842115650492,-29.024600246002464,10.625000000000002,-0.24288763995991813
2008-06-01,0.1643275340093373,0.3269187933898643,0.12879529872673867,0.48954021702651307,0.015435394621881482,-0.023821540325022705,-1.018028887586611,3.25,-1.7227315839392983
2008-07-01,0.355997647467293,0.4698078762829576,0.1283789235858952,0.505986348886651,-0.03231357552581271,0.04001654430772428,-0.9977003261012988,0.5855263157894739,-1.8802786751255205
2008-08-01,0.18105828563745163,0.36361847443074957,0.09323064450749907,0.42618044779428055,0.0758743331357441,-0.05100417578047323,-2.510336976320583,-2.1527777777777777,-2.729333453269767
2008-09-01,0.2763912331852214,0.4535809589189095,0.05067895247332688,0.4263271939328277,0.1083562901744719,-0.09020429544264008,-0.9927738379323093,-0.46853146853146865,-0.6593702175022029
2008-10-01,0.07775284717960229,0.10254782104717375,-0.0430737146065614,0.4711249463288967,0.06959403479701742,-0.0489405803777061,-0.7135727915120254,-1.608695652173913,1.0396489578435983
2008-11-01,-0.19454582262072784,-0.14951539999087415,-0.13249783242689372,0.3200949040643697,0.13787761425251732,-0.10279694878314571,2.187190138014203,-0.86,-0.15308876756027223
2008-12-01,-0.17899901896066506,-0.2159651096599694,-0.15318539727988556,0.22405923521655335,-0.1426140231449965,0.0761133603238866,0.9571359574981888,-1.415492957746479,7.443336575875486
2009-01-01,-0.3451995882207588,-0.31442258844986914,-0.16964709605950323,0.16665026085244605,0.09527590313616519,-0.03072485578128914,-0.9018711460769722,7.0,-1.255263540002904
2009-02-01,-0.1854193588530958,-0.30732397479746254,-0.18783317654437126,0.18025874460948743,0.11199710039869526,-0.0743951352050718,-2.2186288921555524,0.8000000000000003,-3.242752326413744
2009-03-01,-0.2250776677427644,-0.35542278652160497,-0.21270739353161539,0.10552897395002647,-0.09810951760104292,0.099664523343584,-3.5840570436054477,1.1052631578947367,4.94961439588689
2009-04-01,-0.1987764571258941,-0.3498801802939807,-0.20810160829700886,-0.017669654289372505,-0.07336465486086019,0.07181899072073206,-1.3198866855524078,7.0,-2.315399120050283
2009-05-01,-0.29350919497110917,-0.3952369271682018,-0.2098092643051771,-0.13936449174764753,-0.021060842433697324,-0.0033206831119543256,-2.138167134831461,-1.5268817204301075,-2.340430429278398
2009-06-01,-0.1355004996429282,-0.32089087822434703,-0.21120751988430964,-0.11903867818250102,0.015059760956175339,-0.019752498810090557,-91.78011472275334,-1.0784313725490196,-4.556167979002625
2009-07-01,-0.2210080739044339,-0.35557255573372915,-0.21574656750572085,-0.1286871238576417,-0.03563859015621329,0.04005826656955591,-46.5327868852459,-1.099585062240664,-1.878852190829907
2009-08-01,-0.2092556629018102,-0.3219226150566815,-0.168335187245087,-0.06986865625242855,0.016605616605616547,-0.025676937441643344,-1.7341031748424638,0.7349397590361446,-1.304187256176853
2009-09-01,-0.09366906108460238,-0.24718971248611077,-0.139318409108393,-0.10846942650968483,-0.056689887100648706,0.04288452323909908,80.19999999999999,-1.973684210526316,0.49598366235534375
2009-10-01,-0.08464056884267102,-0.15796220669433259,-0.056831517183570934,-0.15300985041955495,0.0037348272642392377,-0.004364805881001521,2.3128111273792094,4.214285714285714,-0.35658855167114867
2009-11-01,0.17856107027563684,0.02360339487079033,0.034617481373796055,-0.07540829882003597,-0.016659619450317242,0.0024227041993538645,0.651980156394518,12.42857142857143,0.09152149505631813
2009-12-01,0.3278918207829524,0.23874989746225683,0.07607776838546076,-0.014501160092807441,0.0014619883040936088,0.024168488894003914,-0.5263742365352582,0.576271186440678,-0.7553788991618422
2010-01-01,0.45435224470453295,0.26656579442054706,0.10863350485992007,-0.000928113398582564,-0.0023185916702447296,-0.0008989774131924477,-7.401950162513542,2.2222222222222214,-11.104664391353811
2010-02-01,0.3009098264962802,0.37374975075331585,0.11862934362934374,-0.035644689834361865,-0.001549320020657663,0.004049038353391099,-1.570274518404796,-2.148148148148148,-1.0643127867544384
2010-03-01,0.33767760451454465,0.4872420123523542,0.139943672914441,-0.040394325559028665,-0.024741379310344702,0.02890108659124002,-0.8840697633282626,-0.07499999999999984,-0.8414967162115451
2010-04-01,0.29592937980431566,0.42810116409425225,0.13704090348296472,0.04961765728189094,-0.02024219923981252,0.021556886227545036,-3.7253512811429923,9.4375,-0.7461455147808358
2010-05-01,0.3976478946704658,0.48902126980382343,0.09934762348555459,0.11309257101890835,0.08489714904366652,-0.06138761590109787,0.7497686256362797,0.18367346938775508,1.8549841160813938
2010-06-01,0.30546359322407723,0.3723527930488395,0.06783389861582179,0.0837169650468883,0.016382536382536506,-0.023504030884523575,0.01204768524369193,13.25,-0.07715206534307562
2010-07-01,0.26686178105356495,0.2796972546442231,0.05926871523661892,0.07998635627185147,-0.0323187694321716,0.01116279069767434,-4.670747074707471,-2.0,0.7856316345524978
2010-08-01,0.2601528510194622,0.2870227006225985,0.03138653588943363,0.0569017379679142,0.013021053521603099,-0.008854645814167394,0.06045671102349259,-0.8819444444444444,2.213149794801642
2010-09-01,0.1617942217522219,0.17624812061911843,0.03673578834465485,0.07651018147737942,-0.0483265169852265,0.025641025641025772,0.9905487455607744,-0.10810810810810823,0.914543137968693
2010-10-01,0.2758402759232019,0.21728014893277958,0.03892641308211875,0.07486216402481038,-0.013067882827574206,0.0005656108597285048,-0.39511192628113045,1.1643835616438358,0.6978743730594696
2010-11-01,0.2138558791880596,0.3092842349115563,0.029858610696408272,0.07488167680865443,0.03056962587754386,-0.012323346523459566,0.11513208123377616,-0.776595744680851,0.2932178644900125
2010-12-01,0.22593119067089384,0.21677124133332493,0.03412760757615452,0.11729588833767757,-0.021471070104337575,0.01602564102564097,-1.4419695193434936,-3.419354838709677,-2.026669021547156
2011-01-01,0.4467143521569499,0.33121923059665614,0.02509884820354147,0.11705092475297718,-0.011720126894606886,-0.0003379900856240736,-2.654763919444915,-0.26293103448275856,0.778653456428732
2011-02-01,0.16428899046054157,0.17257570723685367,0.0514280783501595,0.14490191125705132,0.006419973250111566,-0.010593936661782877,-2.147746939298763,0.7419354838709677,-5.171526054590571
2011-03-01,0.2879752413228571,0.28081479313129964,0.06551371613562784,0.17656393552159022,-0.028351200496146034,0.022781637999772064,-11.373512358864815,0.013513513513513375,-3.658706793152328
2011-04-01,0.23499930561588056,0.2439633316101939,0.06259911526583783,0.1734415100587796,-0.02297802498404311,0.0037866132085977444,0.1987348901694035,-0.8083832335329342,-4.193876270548374
2011-05-01,0.2171213278773132,0.29929106257981597,0.0637504238724993,0.11681829160293056,0.0071861875874941195,-0.001442361034061923,-0.7752506887052342,-1.896551724137931,-1.1875375917238062
2011-06-01,0.11148524300611351,0.2714525774992227,0.06721607004893104,0.08566708621774688,-0.010656041512231096,0.008000000000000007,-0.8030176899063476,1.0526315789473681,-0.6476233638132814
2011-07-01,0.21092875646364195,0.25053587180610504,0.07084445209606605,0.07611527832609544,-0.012363023321157796,0.005291005291005346,0.568584179294787,-0.9583333333333334,0.10973994872228343
2011-08-01,0.25523196966746076,0.28651243981425467,0.06959453618051348,0.0802434975096844,0.011664295874822095,-0.012828947368421106,1.1419442292796282,0.9411764705882353,0.18956387536255015
2011-09-01,0.18015539464455532,0.29363332379096163,0.05345288386929914,0.11927186387020172,0.10433070866141736,-0.06975452626902146,-0.08350838824782014,-0.6666666666666666,-0.2878499786091172
