,const_flow,const_order,const_growth,civil_engine,estimated_construction
2006-12-31,0.021,0.298,0.03,0.008,0.010334271784203986
2007-01-31,0.105,0.184,0.114,0.08800000000000001,0.016690146343279144
2007-02-28,0.065,0.466,0.069,0.055999999999999994,0.013220819696236008
2007-03-31,0.004,0.383,-0.034,0.078,-0.00021560881974291846
2007-04-30,0.038,0.504,0.012,0.091,0.012281760365864036
2007-05-31,0.032,0.09300000000000001,0.018000000000000002,0.061,0.006255859769825678
2007-06-30,0.021,0.34,0.011000000000000001,0.04,-0.0021466026939938043
2007-07-31,0.10300000000000001,-0.132,0.087,0.139,0.003910621380159407
2007-08-31,0.055999999999999994,0.156,0.04,0.08900000000000001,0.0005145518900435686
2007-09-30,-0.091,-0.09300000000000001,-0.077,-0.11699999999999999,-0.014723622302402983
2007-10-31,0.051,1.046,0.076,0.005,0.016831456064733796
2007-11-30,0.02,0.48700000000000004,0.006999999999999999,0.044000000000000004,-0.0010749888094223614
2007-12-31,0.048,0.043,0.092,-0.018000000000000002,0.007588302139404979
2008-01-31,0.045,-0.18300000000000002,0.01,0.11699999999999999,-0.012832692487073638
2008-02-29,-0.036000000000000004,-0.076,-0.038,-0.032,-0.013589468138380134
2008-03-31,-0.047,0.055999999999999994,-0.033,-0.071,-0.005424601731406131
2008-04-30,-0.063,0.063,-0.053,-0.083,-0.001665963918229263
2008-05-31,-0.055,0.18100000000000002,-0.059000000000000004,-0.047,0.0020130457815767944
2008-06-30,-0.084,-0.228,-0.071,-0.109,0.004410471792726911
2008-07-31,-0.087,-0.011000000000000001,-0.07,-0.121,0.008791552779048528
2008-08-31,-0.087,-0.049,-0.114,-0.032,-0.01094816814214905
2008-09-30,-0.028999999999999998,-0.365,-0.043,-0.004,-0.009312311419878538
2008-10-31,-0.106,-0.23500000000000001,-0.17500000000000002,0.03,-0.04346358974388642
2008-11-30,-0.146,-0.395,-0.20500000000000002,-0.037000000000000005,-0.022254299677241463
2008-12-31,-0.197,0.315,-0.284,-0.054000000000000006,-0.014527840431951322
2009-01-31,-0.11199999999999999,0.036000000000000004,-0.222,0.08900000000000001,0.014323708515280753
2009-02-28,0.004,-0.185,-0.11599999999999999,0.23199999999999998,0.02534907455058666
2009-03-31,-0.051,-0.14,-0.127,0.08900000000000001,0.01464070589412847
2009-04-30,0.002,-0.08199999999999999,-0.105,0.21100000000000002,0.011821592772009781
2009-05-31,-0.032,-0.147,-0.105,0.10300000000000001,0.006313612773879873
2009-06-30,0.161,0.251,0.011000000000000001,0.451,0.02927750979736743
2009-07-31,0.004,-0.027000000000000003,-0.079,0.184,0.003399023988092331
2009-08-31,-0.057999999999999996,-0.258,-0.107,0.032,-0.0043420601882298016
2009-09-30,0.10300000000000001,0.5660000000000001,0.027999999999999997,0.237,0.029618416043567963
2009-10-31,-0.033,0.307,-0.054000000000000006,-0.001,0.008458640973623144
2009-11-30,0.05,0.809,0.003,0.122,0.013298038948460711
2009-12-31,0.126,-0.166,0.073,0.19100000000000003,0.022133227283302137
2010-01-31,0.042,0.23399999999999999,0.053,0.027000000000000003,0.006388207869288953
2010-02-28,-0.019,-0.024,-0.026000000000000002,-0.011000000000000001,-0.014259640854618283
2010-03-31,0.066,-0.159,0.013999999999999999,0.14300000000000002,-0.003209835413695128
2010-04-30,-0.057999999999999996,-0.13699999999999998,-0.071,-0.038,-0.02501847854474848
2010-05-31,0.005,0.192,-0.038,0.068,-0.011327657158248794
2010-06-30,-0.064,-0.161,-0.111,-0.001,-0.025609938367249008
2010-07-31,-0.001,0.275,-0.063,0.105,-0.00868637697392316
2010-08-31,-0.001,-0.10800000000000001,-0.069,0.107,-0.006365884936148092
2010-09-30,-0.17300000000000001,-0.174,-0.21600000000000003,-0.11,-0.042661565313187544
2010-10-31,-0.057999999999999996,-0.589,-0.099,0.002,-0.008727975581334868
2010-11-30,-0.078,-0.479,-0.114,-0.027999999999999997,-0.016806515706604408
2010-12-31,0.001,-0.215,-0.037000000000000005,0.042,0.0014859737197367995
2011-01-31,-0.098,-0.321,-0.11599999999999999,-0.075,-0.02411388861903685
2011-02-28,-0.187,-0.161,-0.197,-0.17300000000000001,-0.04451523833660875
2011-03-31,-0.06,0.155,-0.079,-0.035,-0.007793289202541409
2011-04-30,-0.083,0.006999999999999999,-0.069,-0.10099999999999999,-0.0023383852132812244
2011-05-31,-0.094,-0.192,-0.111,-0.071,-0.011565367648487479
2011-06-30,-0.011000000000000001,0.14300000000000002,-0.026000000000000002,0.008,0.018247707678510472
2011-07-31,-0.149,-0.32,-0.134,-0.17,-0.013862540919449384
2011-08-31,-0.09300000000000001,0.792,-0.08800000000000001,-0.099,-0.01399548278871543
2011-09-30,-0.013000000000000001,0.023,0.017,-0.052000000000000005,0.008648540627245405
2011-10-31,0.019,0.7000000000000001,0.024,0.011000000000000001,-0.001662476566281934
2011-11-30,-0.07200000000000001,0.179,-0.069,-0.07400000000000001,-0.029388668217365188
2011-12-31,0.016,0.16,-0.017,0.052000000000000005,-0.008536832332199373
2012-01-31,-0.11,0.52,-0.09699999999999999,-0.125,-0.031902879245715554
2012-02-29,0.083,1.081,0.12300000000000001,0.03,0.04496786608177872
2012-03-31,-0.071,-0.086,-0.064,-0.079,-0.013764761544646786
2012-04-30,-0.07400000000000001,-0.042,-0.114,-0.016,-0.027774464231315688
2012-05-31,-0.038,0.023,-0.051,-0.022000000000000002,-0.0038178115301660265
2012-06-30,-0.139,0.046,-0.16899999999999998,-0.10400000000000001,-0.043479327238206134
2012-07-31,0.034,0.32299999999999995,0.01,0.069,0.02174496205086285
2012-08-31,-0.054000000000000006,-0.28800000000000003,-0.098,0.006,-0.021510266806081813
2012-09-30,-0.017,-0.19899999999999998,-0.063,0.047,-0.012437886533846587
2012-10-31,-0.084,-0.226,-0.08800000000000001,-0.078,-0.025355023095410822
2012-11-30,0.023,-0.19899999999999998,-0.03,0.091,-0.0005721051491412998
2012-12-31,-0.085,-0.428,-0.079,-0.091,-0.017404680541710182
2013-01-31,0.08,-0.524,0.055999999999999994,0.11199999999999999,0.0388835632960608
2013-02-28,0.03,-0.444,-0.006,0.08,-0.0027899526217316506
2013-03-31,0.033,-0.174,0.07200000000000001,-0.017,0.011310681587842542
