,facil_inv,comp_yield,manuf_inv,prod_idx,manuf_ship_idx,inven_idx,util_idx,machine_order,service_idx,retail_idx,estimated_facility
2009-07-31,-0.149,0.0553,0.76633,0.799,0.80378,0.5538000000000001,1.08032,0.163,0.813,0.877,-0.0398629072178327
2009-08-31,-0.154,0.055999999999999994,0.7723800000000001,0.8029999999999999,0.79188,0.5616599999999999,1.078,-0.219,0.816,0.88,-0.0386378943326493
2009-09-30,0.057999999999999996,0.057800000000000004,0.80381,0.8220000000000001,0.82899,0.57775,1.12124,0.27899999999999997,0.8200000000000001,0.881,0.0464624730899974
2009-10-31,-0.059000000000000004,0.0584,0.78708,0.812,0.81568,0.56682,1.09897,-0.165,0.8220000000000001,0.8940000000000001,0.0048991216644784785
2009-11-30,0.14400000000000002,0.0584,0.7996500000000001,0.8140000000000001,0.8276600000000001,0.57242,1.11267,0.573,0.8170000000000001,0.876,0.06847174035237691
2009-12-31,0.214,0.0579,0.81042,0.8240000000000001,0.84418,0.58102,1.12073,0.162,0.831,0.9059999999999999,0.07907210245446494
2010-01-31,0.34700000000000003,0.0592,0.8266800000000001,0.821,0.8353900000000001,0.6176400000000001,1.11382,0.1,0.8240000000000001,0.893,0.11149457233291793
2010-02-28,0.268,0.058300000000000005,0.83309,0.8420000000000001,0.8416,0.63684,1.12695,-0.131,0.8370000000000001,0.913,0.08261272209401005
2010-03-31,0.37200000000000005,0.05740000000000001,0.8501000000000001,0.8470000000000001,0.8629000000000001,0.63402,1.13819,0.13699999999999998,0.838,0.9009999999999999,0.12567489355191963
2010-04-30,0.348,0.055099999999999996,0.85789,0.84,0.87978,0.64625,1.1386,0.233,0.836,0.904,0.11998362072389934
2010-05-31,0.25,0.05480000000000001,0.8642400000000001,0.853,0.88954,0.64381,1.13378,0.559,0.8490000000000001,0.909,0.06785779209630771
2010-06-30,0.26,0.054000000000000006,0.86732,0.853,0.90196,0.64538,1.13049,-0.07400000000000001,0.845,0.917,0.05537104443783658
2010-07-31,0.314,0.0545,0.8764400000000001,0.848,0.90374,0.65457,1.13596,-0.331,0.843,0.9309999999999999,0.05689179322991045
2010-08-31,0.379,0.055700000000000006,0.87039,0.843,0.9010800000000001,0.6613100000000001,1.11216,0.376,0.8390000000000001,0.925,0.09571338602046087
2010-09-30,0.11800000000000001,0.055099999999999996,0.87015,0.843,0.90196,0.66925,1.1126800000000001,0.08900000000000001,0.8370000000000001,0.9329999999999999,0.020297967297365993
2010-10-31,0.231,0.0541,0.88063,0.8470000000000001,0.8993099999999999,0.67282,1.13382,0.091,0.84,0.915,0.08217660294281792
2010-11-30,0.16,0.054000000000000006,0.8849899999999999,0.851,0.91351,0.66959,1.13761,-0.102,0.843,0.9309999999999999,0.05211966734825335
2010-12-31,0.134,0.0552,0.90092,0.8620000000000001,0.92238,0.68313,1.16195,0.555,0.8490000000000001,0.937,0.03792153585984526
2011-01-31,0.11900000000000001,0.0571,0.93057,0.883,0.94991,0.66671,1.17816,0.054000000000000006,0.868,0.965,0.027439501713210745
2011-02-28,-0.001,0.0581,0.90144,0.848,0.92327,0.66482,1.13693,0.298,0.846,0.922,-0.0034202613687721595
2011-03-31,0.044000000000000004,0.0596,0.92479,0.8790000000000001,0.93837,0.68353,1.1577,0.105,0.86,0.941,0.024559278529969752
2011-04-30,0.023,0.057999999999999996,0.90791,0.867,0.9277200000000001,0.69474,1.13317,0.064,0.863,0.943,0.029256555893458547
2011-05-31,0.155,0.058300000000000005,0.9114700000000001,0.87,0.93393,0.7052700000000001,1.1348,-0.042,0.863,0.953,0.06514745943520417
2011-06-30,0.049,0.0589,0.9193899999999999,0.8790000000000001,0.94015,0.72234,1.14178,0.20199999999999999,0.868,0.96,0.015237117758046814
2011-07-31,0.032,0.059800000000000006,0.92125,0.8740000000000001,0.9428000000000001,0.72475,1.12799,-0.048,0.875,0.9620000000000001,-0.0030313100740255727
2011-08-31,0.053,0.0592,0.9174800000000001,0.878,0.9428000000000001,0.73177,1.11591,-0.10400000000000001,0.881,0.9690000000000001,0.013552391168902389
2011-09-30,0.006999999999999999,0.0587,0.91589,0.876,0.94902,0.74455,1.1200400000000001,-0.043,0.87,0.958,0.006367452932975137
2011-10-31,-0.057999999999999996,0.058600000000000006,0.93769,0.886,0.94991,0.76117,1.1391200000000001,0.17500000000000002,0.8740000000000001,0.948,-0.007659700379872625
2011-11-30,-0.004,0.059000000000000004,0.92074,0.875,0.9374800000000001,0.77074,1.12687,0.32299999999999995,0.871,0.9520000000000001,0.011795165862521273
2011-12-31,0.013000000000000001,0.0581,0.9031399999999999,0.868,0.9277200000000001,0.78437,1.09968,-0.217,0.8620000000000001,0.9550000000000001,0.018101472379722594
2012-01-31,0.055999999999999994,0.058300000000000005,0.92798,0.877,0.95879,0.7585500000000001,1.12689,-0.063,0.8740000000000001,0.971,0.033912984183459116
2012-02-29,0.264,0.05740000000000001,0.9639,0.895,0.9694400000000001,0.76187,1.15751,0.21,0.881,0.946,0.10045696209369748
2012-03-31,-0.035,0.0579,0.9325700000000001,0.885,0.9428000000000001,0.7662399999999999,1.12693,-0.287,0.8740000000000001,0.943,-0.017650987359736803
2012-04-30,0.03,0.0576,0.9401,0.883,0.9516800000000001,0.76509,1.12999,-0.08800000000000001,0.875,0.9450000000000001,-0.0036579773334932675
2012-05-31,-0.049,0.05740000000000001,0.94349,0.892,0.9676600000000001,0.7681300000000001,1.1295600000000001,-0.18100000000000002,0.8840000000000001,0.966,-0.018251219546677966
2012-06-30,-0.102,0.0567,0.92574,0.882,0.95879,0.7555800000000001,1.1073600000000001,-0.419,0.88,0.958,-0.023678616280389253
2012-07-31,-0.016,0.0553,0.9210200000000001,0.888,0.94813,0.7470399999999999,1.08837,-0.145,0.8890000000000001,0.9770000000000001,0.020893903007348502
2012-08-31,-0.165,0.0536,0.90424,0.876,0.92416,0.77802,1.0387,-0.237,0.886,0.9570000000000001,-0.03878981626163913
2012-09-30,-0.055,0.053,0.9135,0.883,0.95612,0.7584000000000001,1.07253,-0.146,0.887,0.963,-0.0034936243913104015
2012-10-31,0.011000000000000001,0.050800000000000005,0.93689,0.888,0.95434,0.76401,1.09641,-0.278,0.882,0.9540000000000001,0.016181627523060182
2012-11-30,-0.1,0.050499999999999996,0.94452,0.892,0.9570099999999999,0.7943000000000001,1.10806,-0.33899999999999997,0.883,0.971,-0.032277855191951144
2012-12-31,-0.094,0.0501,0.94666,0.892,0.9694400000000001,0.81948,1.1009900000000001,-0.20600000000000002,0.878,0.9640000000000001,-0.037212107141017636
2013-01-31,-0.078,0.0504,0.9661400000000001,0.897,0.9729900000000001,0.8231,1.1307500000000001,-0.073,0.8840000000000001,0.956,-0.03816965880656209
2013-02-28,-0.231,0.050300000000000004,0.94326,0.905,0.9614400000000001,0.80482,1.0963200000000002,-0.37,0.897,0.966,-0.08397801925653736
2013-03-31,-0.066,0.048600000000000004,0.93184,0.891,0.94902,0.8011900000000001,1.08252,0.167,0.886,0.961,-0.012832915593252281
2013-04-30,-0.071,0.04820000000000001,0.9340999999999999,0.903,0.94902,0.7898000000000001,1.08338,0.009000000000000001,0.892,0.953,-0.004881607652169606
2013-05-31,-0.035,0.04730000000000001,0.9288,0.9,0.95523,0.7897,1.07689,0.201,0.895,0.9590000000000001,-0.00556927093013293
2013-06-30,0.002,0.047,0.9305800000000001,0.897,0.96589,0.78542,1.0704600000000002,0.187,0.892,0.9620000000000001,-0.005572784740183856
2013-07-31,0.028999999999999998,0.046900000000000004,0.9215900000000001,0.895,0.94813,0.80131,1.04142,0.10300000000000001,0.891,0.966,-0.009383782388507456
2013-08-31,0.11699999999999999,0.0461,0.9366200000000001,0.902,0.9729900000000001,0.80369,1.0662,0.159,0.9,0.9620000000000001,0.023053020914652222
2013-09-30,-0.046,0.045899999999999996,0.9162300000000001,0.897,0.94813,0.8249500000000001,1.03087,-0.046,0.8959999999999999,0.968,-0.03723985425328191
2013-10-31,0.159,0.045599999999999995,0.9465300000000001,0.9109999999999999,0.9694400000000001,0.83199,1.08466,0.985,0.899,0.96,0.03782495639897565
2013-11-30,0.10300000000000001,0.0458,0.93934,0.907,0.9614400000000001,0.84551,1.0802100000000001,0.359,0.899,0.9720000000000001,0.024710492278351204
2013-12-31,0.07,0.0467,0.9551900000000001,0.902,0.97654,0.85548,1.0885,0.033,0.8890000000000001,0.9520000000000001,0.020530833838281914
2014-01-31,0.004,0.046200000000000005,0.96548,0.9209999999999999,0.97565,0.84113,1.10729,-0.052000000000000005,0.913,0.981,0.004659142074272982
2014-02-28,0.139,0.0458,0.95784,0.915,0.96411,0.83621,1.09168,0.086,0.909,0.965,0.043317933869571945
2014-03-31,0.087,0.045700000000000005,0.9627200000000001,0.917,0.97476,0.84511,1.10373,0.552,0.91,0.96,0.01361454608312318
2014-04-30,0.12,0.0451,0.9625,0.918,0.96855,0.8545,1.1048900000000001,0.264,0.903,0.9500000000000001,0.014209492020691883
2014-05-31,0.06,0.045,0.92786,0.907,0.95523,0.84234,1.05456,-0.158,0.909,0.968,0.0068915910128000135
2014-06-30,0.022000000000000002,0.0453,0.9533100000000001,0.9209999999999999,0.97654,0.84512,1.0753700000000002,0.021,0.917,0.976,0.008041315876505362
2014-07-31,0.026000000000000002,0.0454,0.96238,0.923,0.9721,0.85597,1.08688,-0.113,0.919,0.97,0.02434452481638516
2014-08-31,-0.099,0.0435,0.92701,0.914,0.95879,0.84485,1.0364,1.926,0.923,0.973,-0.020269332483112912
2014-09-30,0.128,0.042800000000000005,0.9178000000000001,0.905,0.95257,0.8553700000000001,1.03648,0.16899999999999998,0.917,0.9690000000000001,0.061530867751261376
2014-10-31,-0.086,0.0414,0.91803,0.914,0.94369,0.85663,1.04482,-0.306,0.923,0.9490000000000001,-0.015409503800742463
2014-11-30,0.105,0.0402,0.92417,0.913,0.96411,0.84782,1.05103,0.063,0.923,0.9570000000000001,0.038568734019817974
2014-12-31,0.153,0.04070000000000001,0.94827,0.915,0.9801000000000001,0.83535,1.07512,0.032,0.9159999999999999,0.973,0.0402986403431802
2015-01-31,0.12400000000000001,0.0402,0.9242,0.915,0.95623,0.8353900000000001,1.04902,0.409,0.9209999999999999,0.9570000000000001,0.013283842830626114
2015-02-28,0.039,0.0402,0.94395,0.929,0.96975,0.8466,1.0737,-0.031000000000000003,0.9359999999999999,0.991,-0.0029490933239504358
2015-03-31,0.09,0.0381,0.9326300000000001,0.922,0.9523600000000001,0.85123,1.04346,-0.318,0.934,0.9770000000000001,0.02988064344984309
2015-04-30,0.03,0.0367,0.94496,0.929,0.96589,0.8679000000000001,1.0487900000000001,0.242,0.9390000000000001,0.993,0.023553686874825175
2015-05-31,0.001,0.0371,0.9200900000000001,0.9159999999999999,0.9485,0.86698,1.0223600000000002,0.126,0.932,0.975,0.004917361635107476
2015-06-30,0.13,0.0361,0.93498,0.923,0.96202,0.8928900000000001,1.04238,0.083,0.9279999999999999,0.9570000000000001,0.042692022529574825
2015-07-31,0.07200000000000001,0.0354,0.92591,0.923,0.95623,0.8968300000000001,1.0299,0.091,0.938,0.9720000000000001,0.013306602193633665
2015-08-31,0.167,0.0357,0.94798,0.938,0.9948600000000001,0.90955,1.0583799999999999,-0.663,0.946,0.9790000000000001,0.03987515268733155
2015-09-30,0.09300000000000001,0.0356,0.9602800000000001,0.948,0.98907,0.9102100000000001,1.0731600000000001,-0.002,0.9490000000000001,0.998,0.006028481350178971
2015-10-31,0.14800000000000002,0.0357,0.95704,0.943,0.9929300000000001,0.90378,1.05935,-0.025,0.953,1.011,0.017455543559630637
2015-11-30,-0.025,0.0356,0.9476600000000001,0.9400000000000001,0.98231,0.8942300000000001,1.05288,-0.163,0.9490000000000001,0.99,-0.026619695972533997
2015-12-31,-0.005,0.0362,0.93517,0.946,0.97265,0.88161,1.0436100000000001,0.43,0.96,0.993,-0.003059354121512925
2016-01-31,-0.042,0.0357,0.9345699999999999,0.935,0.95913,0.91446,1.03237,-0.35100000000000003,0.9450000000000001,0.9890000000000001,0.000615781479516464
2016-02-29,-0.062000000000000006,0.0357,0.94655,0.9470000000000001,0.97072,0.9247,1.05511,0.299,0.956,0.9820000000000001,-0.010353926739638641
2016-03-31,-0.027999999999999997,0.036000000000000004,0.9589300000000001,0.953,0.9842400000000001,0.92569,1.04763,0.07200000000000001,0.9590000000000001,1.008,-0.0024010867437120886
2016-04-30,-0.025,0.0355,0.9472100000000001,0.9490000000000001,0.97844,0.9124800000000001,1.03028,-0.358,0.963,1.022,-0.00519614855605699
2016-05-31,0.057999999999999996,0.0355,0.97516,0.96,0.9939,0.91255,1.05986,-0.002,0.9640000000000001,1.0090000000000001,0.02064079378244177
2016-06-30,0.064,0.034100000000000005,0.96973,0.9640000000000001,0.9881000000000001,0.90181,1.04639,0.266,0.9690000000000001,1.0070000000000001,0.019462958330349167
2016-07-31,-0.064,0.0337,0.9618300000000001,0.958,0.9852,0.8983,1.03672,-0.019,0.968,1.002,-0.028623390077363364
2016-08-31,0.078,0.0338,0.9436,0.9620000000000001,0.97651,0.892,1.01468,0.024,0.976,1.013,0.030348506931030528
2016-09-30,-0.013999999999999999,0.0337,0.946,0.9620000000000001,0.97844,0.8946,1.01841,0.09300000000000001,0.973,1.001,0.00760644592688875
2016-10-31,-0.012,0.0338,0.94652,0.958,0.97651,0.8867100000000001,1.00776,-0.11199999999999999,0.9670000000000001,1.02,0.017670256025252407
